szerzo,cim,jelzet,raktar,kiado,ev,targyszavak,kulso_leiras,megjegyzesek
Morel Gyula - András Imre (szerk.),Handbuch des ungarischen Katholizismus,282 H27,,UKI,1984,katolikus egyház; Magyarország; kézikönyv,http://nektar.oszk.hu/hu/manifestation/2921304,
Turányi László (szerk.),Magyar katolikus almanach 1-2. köt.,282 M14,,Szt. István Társ.,1984-1988,egyháztörténet; egyházszervezet; kézikönyv,http://nektar.oszk.hu/hu/manifestation/673475,
Tomka Miklós,Csak katolikusoknak,282 T63,,Corvinus Kkt.,1995,katolikus egyház; egyháztörténet; egyház és állam; vallásszociológia,http://nektar.oszk.hu/hu/manifestation/163840,
Tomka Miklós,"Magyar katolicizmus, 1991",282 T63,,OLI - Katolikus Társtud. Akad.,1991,katolikus egyház; Magyarország; vallásszociológia,http://nektar.oszk.hu/hu/manifestation/507195,
,Útmutató : a budapesti templomok szentmiserendje és a plébániák fontosabb adatai a hívők számára,282 U97,,Szt. István Társ.,2000,adattár,http://nektar.oszk.hu/hu/manifestation/1027671,
"Mackintosh, Charles Henry",Istenért elhagyom... : a hit útja Ábrahámnál és nálunk; Te és házadnépe,283 M10,,Evangéliumi Iratmisszió,1975,hit,http://nektar.oszk.hu/hu/manifestation/1355700,
"McDowell, Josh",Több mint ács?,283 M49,,Timóteus Társ.,1998,krisztológia; Jézus Krisztus; Jézus élete,http://nektar.oszk.hu/hu/manifestation/297544,
"Thomas, Walter Ian",Krisztus megtartó élete,283 T50,,Evangéliumi Iratmisszió,197?,protestáns teológia; krisztológia,http://nektar.oszk.hu/hu/manifestation/1391631,
,Amíg időnk van : Európai Magyar Evangéliumi Ifjúsági Konferencia : Slagelse/Dánia 1964,284 A55,,Útitárs,1965,protestáns egyházak; vallás és kultúra; tanulmányok,http://nektar.oszk.hu/hu/manifestation/1377505,
Bucsay Mihály,"Protestantizmus története Magyarországon, 1521-1945, A",284 B91,,Gondolat,1985,egyháztörténet; magyar protestáns egyházak,http://nektar.oszk.hu/hu/manifestation/659741,
,"Ecce homo : Magyar Evangéliumi Ifjúsági Konferencia : Salzerbad, Austria 1961",284 E12,,Útitárs,1962,protestáns egyházak; vallás és kultúra; tanulmányok,http://nektar.oszk.hu/hu/manifestation/1373240,
Lendvai L. Ferenc - Bolyki János-Ladányi Sándor - Fabiny Tibor - Szigeti Jenő - Dobos László Gábor - Gál Zoltán - Erdei János,"Magyar protestantizmus, 1918-1948, A : Tanulmányok",284 M14,,Kossuth,1987,protestáns egyházak; egyháztörténet; református egyház; evangélikus egyház; unitárius egyház; kisegyházak; dialektikai teológia; szolgálat-teológia,http://nektar.oszk.hu/hu/manifestation/601547,
"Mehnert, Gottfried",Protestánsok a kereszténydemokráciában : Siegentől Wittenbergig avagy Amit a német útból tanulhatunk,284 M51,,Barankovics Alapítvány,1993,kereszténydemokrácia; keresztényszocializmus; Németország,http://nektar.oszk.hu/hu/manifestation/102257,
,"Mit cselekedjünk? : Magyar Evangéliumi Ifjúsági Konferencia : Dymchurch, Anglia 1962",284 M72,,Útitárs,1963,protestáns egyházak; vallás és kultúra; tanulmányok,http://nektar.oszk.hu/hu/manifestation/1374544,
Zoványi Jenő,Magyarországi protestáns egyháztörténeti lexikon,284 Z69,,Ref. Zsinati Iroda,1977,magyar protestáns egyházak; kézikönyv,http://nektar.oszk.hu/hu/manifestation/792540,
Szabó Lajos (szerk.),Ablaknyitás : keresztény önismeret falakon belül és kívül,284.1 A12,,Luther,2004,protestáns teológia; kereszténység; dogmatika; liturgia; vallás és tudomány; felszabadítás teológiája; vallásközi párbeszéd; tanulmányok,http://nektar.oszk.hu/hu/manifestation/2529855,
Boleratzky Lóránd,"Magyar evangélikus egyházjog alapjai és jogforrásai, A",284.1 B76,,Ordass L. Baráti Kör,1991,protestáns egyházak; Magyarország,http://nektar.oszk.hu/hu/manifestation/17182,
"Bonhoeffer, Dietrich",Szentek közössége,284.1 B77,,Harmat,1997,egyháztan; erkölcstan; keresztény etika,http://nektar.oszk.hu/hu/manifestation/225830,
"Bultmann, Rudolf",Jézus Krisztus és a mitológia : az Újszövetség a bibliakritika fényében,284.1 B96,,Teológiai Irod. Egyes.,1996,protestáns teológia; evangélikus bibliakritika; krisztológia; mítosztalanítás,http://nektar.oszk.hu/hu/manifestation/214913,
"Bultmann, Rudolf",Történelem és eszkatológia,284.1 B96,,Atlantisz,1994,protestáns teológia; dogmatika; történelemfilozófia; üdvtörténet; antropológia; hermeneutika,http://nektar.oszk.hu/hu/manifestation/120383,
"Ebeling, Gerhard",Luther : bevezetés a reformátor gondolkodásába,284.1 E10,,Mo. Luther Szöv.,1997,protestáns teológia; fundamentális teológia; vallásfilozófia; Martin Luther; reformáció,http://nektar.oszk.hu/hu/manifestation/233134,
"Gnanabaranam, Johnson",Jézusom ma,284.1 G48,,Evangéliumi Iratmisszió,1967,imádságok; elmélkedések; evangélikus egyház,http://nektar.oszk.hu/hu/manifestation/1384861,
Nagy Gyula,Egyház a mai világban : teológiai szociáletika,284.1 N20,,Evangélikus Sajtóoszt.,1967,"evangélikus egyház; egyház és társadalom; egyház és állam; valláserkölcs, vallásszociológia; család, társadalom; kereszténység",http://nektar.oszk.hu/hu/manifestation/1055671,
"Binde, Fritz",Krisztus testének kiteljesedése,284.1 S21,,Evangéliumi,1983,közösség; bibliamagyarázat; evangélikus egyház,http://nektar.oszk.hu/hu/manifestation/1427305,
"Schacke, Martin",Törvény és hit : én vagy Krisztus : egy jogász olvassa a Bibliát,284.1 S24,,Evangéliumi,1983,bibliamagyarázat; evangélikus egyház,http://nektar.oszk.hu/hu/manifestation/1427305,
Schimert Gusztáv,Jézus Krisztus megmagyarázhatatlan személye,284.1 S30,,Primo,1990,krisztológia;Jézus élete,http://nektar.oszk.hu/hu/manifestation/544779,
"Schlink, Basilea",Ezek tények! : hogyan éltük át Isten csodáit?,284.1 S31,,Pro Planta 3M Bt.,2008,kereszténység; imádság; Németország; Evangelische Marienschwesternschaft,http://nektar.oszk.hu/hu/manifestation/2742985,
"Schulte, Anton",Akire a világ vár : jövendőnk alapja a múltban van,284.1 S39,,Evangéliumi,198?,protestáns egyházak; Jézus Krisztus; Jézus élete; Messiás-várás; zarándoklat; Szentföld,http://nektar.oszk.hu/hu/manifestation/1402293,
Sztehlo Gábor,In the hands of God,284.1 Sz95,,G. Sztehlo Found. for the Help of Children and Adolescents,1994,történelem; II. világháború; zsidóüldözés; diakónia; protestáns egyházak; szociálpolitika; szociális tevékenység; gyermekvédelem; ifjúságvédelem; intézménytörténet; napló,http://nektar.oszk.hu/hu/manifestation/119361,
"Tillich, Paul",Rendszeres teológia,284.1 T53,,Osiris,1996,fundamentális teológia; ismeretelmélet; kinyilatkoztatás és hit; vallásfilozófia,http://nektar.oszk.hu/hu/manifestation/195654,
Vajta Vilmos,Communio : Krisztus és a szentek közössége Luther teológiájában,284.1 V23,,Mo. Luther Szöv.,1993,protestáns teológia; fundamentális teológia; krisztológia; egyháztan; Martin Luther; reformáció,http://nektar.oszk.hu/hu/manifestation/95628,
"Calvin, Jean (Kálvin János)","Tanítás a keresztyén vallásra, 1559",284.2 C11,,Ref. Zsinati Iroda,1991,protestáns teológia; református vallás; dogmatika; kálvinizmus; reformáció,http://nektar.oszk.hu/hu/manifestation/791366,
"Corsani, Bruno - Ricca, Paolo",Péter és a pápaság a mai ökumenikus vitában,284.2 C29,,Ref. Zsinati Iroda,1980,protestáns teológia; református vallás; valdiak; pápai primátus; vallásközi párbeszéd; ökumené,http://nektar.oszk.hu/hu/manifestation/790967,
Cseri Kálmán,"Házasság válságai, A",284.2 C59,,MSEJK Evangélumi K.,1997,pasztorálteológia; lelkigondozás; pszichológia; református egyház,http://nektar.oszk.hu/hu/manifestation/2930927,
Csohány János,Magyar protestáns egyháztörténet : 1711-1849,284.2 C76,, Ref. Teológiai Akad.,1994,protestáns teológia; református egyház; magyar protestáns egyházak; felsőoktatási tankönyv,http://nektar.oszk.hu/hu/manifestation/102711,
Csohány János,"Történeti kutatás és feldolgozás módszere, A",284.2 C76,, Ref. Teológiai Akad.,1995,protestáns teológia; református egyház; történettudomány; egyháztörténet; módszertan,http://nektar.oszk.hu/hu/manifestation/138720,
,"Elmenvén, tegyetek tanítványokká minden népeket... : dr. Tóth Károly püspök 75. születésnapjára",284.2 E40,,Kálvin,2006,református egyház; emlékkönyv; életrajz; tanulmányok,http://nektar.oszk.hu/hu/manifestation/2607494,
Fabiny Tibor,"Keresztény hermeneutika kérdései és története, A : [egyetemi tankönyv] 1. A prekritikai korszak: az első századtól a reformáció koráig",284.2 F11,,Hermeneutikai Kutatóközp.,1998,protestáns teológia; református bibliakritika; egzegézis; biblikum; felsőoktatási tankönyv,http://nektar.oszk.hu/hu/manifestation/353228,
Fekete Károly,Makkai Sándor gyakorlati teológiai munkássága,284.2 F38,,Debreceni Ref. Kollégium,1997,protestáns egyházak; református egyháztörténet; életrajz,http://nektar.oszk.hu/hu/manifestation/227483,
,Heidelbergi Káté; A második helvét hitvallás : a Magyarországi Református Egyház hitvallási iratai,284.2 H54,,Kálvin,1996,protestáns teológia; református vallás; katekizmus,http://nektar.oszk.hu/hu/manifestation/209973,
Bartha Tibor (szerk.),Hittel és cselekedettel : a Magyarországi Református Egyház 25 éve a szocialista társadalomban,284.2 H71,,Ref. Zsinati Iroda,1970,református egyháztörténet; Magyarország; egyház és állam,http://nektar.oszk.hu/hu/manifestation/1259280,
Kádár Imre,"Egyház az idők viharaiban : a magyarországi református egyház a két világháború, a forradalmak és ellenforradalmak idején",284.2 K10,,Bibliotheca,1957,református egyháztörténet,http://nektar.oszk.hu/hu/manifestation/1230313,
"McGrath, Alister Edgar",Kálvin : a nyugati kultúra formálódása,284.2 M49,,Osiris,1996,Jean Calvin; kálvinizmus; reformáció; protestáns egyházak; református egyház; Osiris könyvtár sorozat,http://nektar.oszk.hu/hu/manifestation/176937,
Ravasz László,Kis dogmatika : hitünk igazságai,284.2 R43,,Kálvin,1996,protestáns teológia; református vallás; kálvinizmus; rendszeres teológia,http://nektar.oszk.hu/hu/manifestation/213687,
Sebestyén Jenő,Református dogmatika,284.2 S46,,Iránytű,1994,protestáns teológia; református vallás,http://nektar.oszk.hu/hu/manifestation/144015,
Hargita Árpád (szerk.),Tűzoszlopoddal jéghegyek között : Zimányi József életútja,284.2 T98,,Fundamentum Alapítvány,1995,református egyház; Kárpátalja; hitélet; életrajz,http://nektar.oszk.hu/hu/manifestation/232540,
Vályi Nagy Ervin,Nyugati teológiai irányzatok századunkban,284.2 V26,,Ref. Zsinati Iroda,1984,protestáns teológia; protestáns egyházak; református egyház; vallástörténet,http://nektar.oszk.hu/hu/manifestation/790965,
Vámosi Pap István,"Vallási egyesülés ideája s ezen idea realizáltatásának eszközei, A",284.2 V28,,Számmer Ny.,1823,protestáns teológia; református vallás; keresztény egység; ökumené; vallási türelem,http://nektar.oszk.hu/hu/manifestation/3233480,
Almási Mihály,"Ezredfordulók : tanulmányok három ezredforduló kapcsán Jézus Krisztusról, Szent Istvánról, a baptistákról és napjaink eseményeiről (Millenniumi album)",286 A45,,KIT,2001,baptista egyház; művelődéstörténet; tanulmányok,http://nektar.oszk.hu/hu/manifestation/2534510,
,"Tiszteletes, A : Szenczy Sándorral beszélget Ferenczi Andrea",286 T56,R,Harmat,2011," protestáns lelkész; baptista egyház; Baptista Szeretetszolgálat; Magyarország; 
interjú",http://nektar.oszk.hu/hu/manifestation/3365491,
"Maisel, John",Isten-e Jézus?,287 M19,,Bp. Nemzetk. Egyh.,1993,krisztológia; Jézus Krisztus; Jézus istensége,http://nektar.oszk.hu/hu/manifestation/74424,
"Vehe-Glirius, Matthias",Istenismeret és más írások,288 V67,,Helikon,1984,vallások; antitrinitáriusok; Németország; bibliamagyarázat; hitélet,http://nektar.oszk.hu/hu/manifestation/787892,
"Prince, Derek",Válogatás Derek Prince tanulmányaiból,289 P91,,Hit Gyülekezete,1991,kisegyházak; bibliamagyarázat; egzegézis; Újszövetség; keresztény élet; tanulmányok,http://nektar.oszk.hu/hu/manifestation/742083,
Tarnay Brunó OSB,Katolicizmus és kultuszok,289 T31,,Bencés,1994,szekták; szabadegyházak; új vallási mozgalmak; New Age,http://nektar.oszk.hu/hu/manifestation/137628,
Benkics József,"Világvallások és a kereszténység, A : a nagy világvallások rövid áttekintése keresztény szemmel",291 B51,,Márton Áron K.,1999,vallástörténet; apologetika,http://nektar.oszk.hu/hu/manifestation/455766,
,"Csodás érem és a hozzá fűződő kegyelmek, A",291 C76,,Szeretet Leányai,1932,vincés nővérek; Magyarország; Labouré Szt Katalin; Szűz Mária,http://nektar.oszk.hu/hu/manifestation/3167265,
"Eliade, Mircea",Misztikus születések : tanulmány néhány beavatástípusról,291 E40,,Európa,1999,vallástörténet; beavatási szertartás; serdülőkori rítusok; szellemtörténet; mítosz; szimbólumok; misztériumvallások; primitív vallások; felsőoktatási tankönyv,http://nektar.oszk.hu/hu/manifestation/385528,
"Eliade, Mircea",Vallási hiedelmek és eszmék története 1-3. köt.,291 E40,,Osiris,1995-1998,vallástörténet; mitológiatörténet; ókori vallások; sámánizmus; keresztény egyházak; egyháztörténet; iszlám; judaizmus; vallásos mozgalmak; tibeti vallás,http://nektar.oszk.hu/hu/manifestation/163665,
"Eliade, Mircea",Vallási hiedelmek és eszmék története 1-3. köt.,291 E40,,Osiris,1998-2002,vallástörténet; mitológiatörténet; ókori vallások; sámánizmus; keresztény egyházak; egyháztörténet; iszlám; judaizmus; vallásos mozgalmak; tibeti vallás,http://nektar.oszk.hu/hu/manifestation/287248,
Előd István Piar,Vallásosság és vallás,291 E41,,Nyíregyházi Tempo [soksz.],1977,fundamentális teológia; fenomenológia; vallásfilozófia; vallástörténet; vallások; valláspszichológia; vallásszociológia; felsőoktatási tankönyv,http://nektar.oszk.hu/hu/manifestation/1526083,
"Erasmus, Desiderius Rotterdamus",Krisztus fegyverzetében avagy Az üdvösségre vezető élet szabályainak kalauza,291 E65,,Új Ember - Szt. István Társ.,2000,humanizmus; vallásfilozófia; erkölcsteológia; keresztény élet,http://nektar.oszk.hu/hu/manifestation/797092,
Gecse Gusztáv,Kérdések a vallásról ,291 G33,,Móra,1976,valláspedagógia; vallástörténet; egyháztörténet; ateizmus; kereszténység; zsidó vallás; judaizmus; ifjúsági irodalom,http://nektar.oszk.hu/hu/manifestation/606575,
Gecse Gusztáv,Vallástörténeti kislexikon,291 G33,,Kossuth,1973,marxista vallástörténet; általános és összehasonlító vallástudomány; mitológia; kézikönyv,http://nektar.oszk.hu/hu/manifestation/1266939,
Gecse Gusztáv,Vallástörténeti kislexikon,291 G33,,Kossuth,1983,marxista vallástörténet; általános és összehasonlító vallástudomány; mitológia; kézikönyv,http://nektar.oszk.hu/hu/manifestation/599817,
Giesswein Sándor,Egiptom és a biblia 1. köt. [több nem jelent meg],291 G45,,Szt. István Társ.,1909,biblikum; Egyiptom; egyiptológia; vallástörténet; művelődéstörténet,http://nektar.oszk.hu/hu/manifestation/3104106,
"Glasenapp, Helmuth von","Öt világvallás, Az : Bráhmanizmus, buddhizmus, kínai univerzizmus, kereszténység, iszlám",291 G47,,Gondolat,1977,vallások; vallástörténet,http://nektar.oszk.hu/hu/manifestation/657576,
"Glasenapp, Helmuth von","Öt világvallás, Az : Bráhmanizmus, buddhizmus, kínai univerzizmus, kereszténység, iszlám",291 G47,,Gondolat,1987,vallások; vallástörténet,http://nektar.oszk.hu/hu/manifestation/660005,
Zoltán Péter (szerk.),"Istenek, megváltók, próféták",291 I78,,RTV-Minerva,1979,vallástörténet,http://nektar.oszk.hu/hu/manifestation/646486,
"Karrer, Otto",Vallásosság és kereszténység,291 K22,,Szt. István Társ.,1941,vallástörténet; istenhit; összehasonlító vallástudomány,http://nektar.oszk.hu/hu/manifestation/1609393,
"Kirk, Geoffrey Stephen","Mítosz, A",291 K48,,Holnap,1993,"kultúra; néprajz; rítus; népmese; szimbólumok; görög, mezopotámiai mitológia; Claude Lévi-Strauss",http://nektar.oszk.hu/hu/manifestation/47709,
"Klausner, Joseph","Jézus élete, tanítása és korának viszonyai a zsidó, görög és római források alapján",291 K58,,Logos,1993,vallástörténet; krisztológia; Jézus Krisztus; rabbinikus forrás; felsőoktatási tankönyv,http://nektar.oszk.hu/hu/manifestation/62028,
Láng János,"Mitológia kezdetei, A : Az ősi népek elbeszélései",291 L22,,Gondolat,1979,vallástörténet; vallási néprajz,http://nektar.oszk.hu/hu/manifestation/657439,
"Leeuwen, Arend Theodoor van",Kereszténység a világtörténelemben : üdvösség és szekularizáció,291 L42,,Szt. István Társ.,2010,összehasonlító vallástudomány; vallástörténet; vallásfilozófia; történelemfilozófia; művelődéstörténet,http://nektar.oszk.hu/hu/manifestation/2917896,
"Lissner, Ivar - Schmidt, Wilhelm (alapján szerk. Szántó János)",Ember Istentől,291 L71,,Szántó J. - Szt. Gellért,1991,etnológia; etnográfia; primitív népek; primitív vallások; összehasonlító mitológia; művelődéstörténet; társadalomtörténet; ősrégészet,http://nektar.oszk.hu/hu/manifestation/24161,
Kocsis Elemér - Poór József (szerk.),"Marxizmus, kereszténység, protestantizmus : Valláselméleti szimpozion : Protestáns-marxista dialógus '82",291 M39,,Kossuth,1982,marxista vallástörténet; valláskritika; ,http://nektar.oszk.hu/hu/manifestation/599403,
